painting,image_path,baseline,vad,emotion
ivan-aivazovsky_sea-view-with-chapel-1845-1,images/ivan-aivazovsky_sea-view-with-chapel-1845-1.jpg,السماء مغيمه للغايه والأجواء هادئه وجميله للغايه,السماء القاتمه والظلال الطويله المخيفه مع تباين القمر علي البحر مع القوارب في البحر,منظر طبيعي خلاب الألوان متانسبه تماما الطبيعه من جمال الطبيعه
konstantin-korovin_arctic-ocean-1913,images/konstantin-korovin_arctic-ocean-1913.jpg,السماء صافيه والبحر هادئ وجميل مع تباين لون البحر الزرقاء,بحر واسع امواجه عاليه وسماء بها غيوم كثيفه وسماء صافيه,السماء صافيه مع تباين السحاب البيضاء بشكل رائع مع السماء الصافيه والجبال العاليه
theo-van-doesburg_dunes-and-sea,images/theo-van-doesburg_dunes-and-sea.jpg,بحر كبير جدا والوانة مبهجة للرؤية وبة صخور صغيرة,بحر واسع به امواج عاليه و هناك جبل عالي الارتفاع في مشهد مذهل جدا,بحر كبير جدا الوانة مبهجة للرؤية وبة صخور صغيرة لقد شعرت بالراحة عندما نظرت إليها. .
raoul-dufy_parisian-bridge-1922,images/raoul-dufy_parisian-bridge-1922.jpg,مدينة كبيرة بها مباني عالية تطل على بحر واسع,مدينة كبيرة مليئة بالمنازل الصغيرة تنعكس عليها السماء الصافية بصورة فردية لقد شعرت بالسكينة عندما نظرت إليها.,مدينة كبيرة مليئة بالبيوت الصغيرة تنعكس عليها أشعة الشمس فتبدو دافئة تنعكس عليه لقد شعرت بالملل عندما نظرت إليها.
aleksey-savrasov_sea-of-mud-1894,images/aleksey-savrasov_sea-of-mud-1894.jpg,طريق جليدى به بعض من الأشجار منزوعة الأوراق,السماء صافيه مع تباين الثلوج البيضاء مع الشجر الاخضر الطويل المتجانس,طريق طويل على جانبيه اشجار متساقط اوراقها مغطاه بالجليد الابيض
pablo-picasso_woman-with-feathered-hat-1901,images/pablo-picasso_woman-with-feathered-hat-1901.jpg,امراه شعرها لونه اسود ترتدي ملابس لونها اخضر خلفها حائط لونه اخضر,سيدة جميلة الملامح مرتدية قبعة خضراء وشعرها أسود اللون تنظر بعض نظرات الرضا,سيدة قبيحة الوجه غير واضحة الملامح واللوحة لا تعطي معني واضح ولا تعطي اي معني مفهوم
neil-welliver_illusory-flowage,images/neil-welliver_illusory-flowage.jpg,السماء زرقاء ، السحاب رمادي، لون أوراق الشجر طبيعي,منظر طبيعي خلاب الألوان متانسبه تماما من الطبيعه الخلابه مع وجود سماء زرقاء صافية و مياه زرقاء و صافية,بحيرة صغيرة وسط أرض خضراء واسعة وأشجار كثيفة الأوراق
agostino-carracci_titian-1587,images/agostino-carracci_titian-1587.jpg,رجل كبير السن ذو لحية بيضاء طويلة يظهر عليه الحزن,رجل كبير في العمر يبدو عليه الحزن الشديد ذو لحية طويلة وشارب طويل,رجل كبير في العمر يبدو انه ذو لحيه طويله وشارب طويل ويرتدي قبعه
viorel-marginean_unknown-title-3,images/viorel-marginean_unknown-title-3.jpg,مجموعه من الزهور الملونه بالوان مختلفه ومبهجه مرسومه بشكل مذهل,مجموعه من الاشجار ذات الاوراق الخضراء الكثيفه التي تتداخل مع بعضها البعض في مشهد ممتع للعين,مجموعه من الاشجار التى تم رسمها باللون الاسود والابيض بشكل جميل ورائع جدا
claude-monet_water-lilies-41,images/claude-monet_water-lilies-41.jpg,زهور ملونة بألوان مبهجة للرؤية وجذابة وتتميز بالرقة,بحيره لونها ازرق محاطه بالاعشاب الخضراء والاشجار,زهور وورود مختلفة الالوان منها الاصفر والاخضر والازرق والاحمر والاخضر
